V1,V2,APP_offtime,CB_DA,CE_DA,NPURP,APP_NAME,NPURP_label,ADDR,Time_interval,Time_interval_label,APP_Name_label,Double_label
121.527068,25.02723927,0,2014/6/24,2014/6/24,搶修,自來水西區,1,南昌路1段163號,0,1,3,11
121.5084638,25.12205078,0,2014/6/9,2014/7/8,其他(側溝更新),水利處,6,中央南路2段31號~39巷口,29,4,5,5
121.6267371,25.05284355,0,2014/6/7,2014/6/8,搶修-自來水漏水,自來水事業處,1,南港路1段經貿一路口附近,1,2,3,11
121.5399517,25.05929428,0,2014/6/19,2014/7/10,管線單位需求-既設管線改善,大台北瓦斯,3,松江路330巷1號左前至33號右前及錦州街231巷(35號前至松江路330巷口),21,4,1,1
121.4994072,25.09811056,0,2014/5/15,2014/9/18,其他(配合路平工程汰換),自來水北區,5,延平北路7段自11巷口起至7段260巷口止,126,5,3,6
121.5356944,25.06628271,0,2014/6/23,2014/6/24,民生需求-新建房屋,電信北區,4,新生北路3段(民族東路口),1,2,4,4
121.5269883,25.10837621,0,2014/6/23,2014/6/27,搶修,陽明山瓦斯,1,東華街1段384號旁附近(裕民里),4,3,1,9
121.5202188,25.10098785,0,2014/5/26,2014/9/18,管線單位需求-既設管線改善,自來水工總,3,承德路6段洲美街至文林北路,115,5,3,3
121.5589609,25.02990542,0,2014/6/23,2014/6/27,新設,電信南區,3,安和路2段32巷21號旁一帶,4,3,4,4
121.558933,25.02999725,0,2014/6/23,2014/6/27,新設,電信南區,3,安和路2段32巷21號旁一帶,4,3,4,4
121.59008,25.06594441,0,2014/4/10,2014/6/24,管線單位需求-建設需求,台電北區,3,民權東路6段46巷口,75,4,2,2
121.5178627,25.08848836,0,2014/6/23,2014/6/26,管線單位需求-既設管線改善,自來水北區,3,社園里通河西街2段99號旁與社子里社中街141號旁,3,3,3,3
121.5293628,25.05466504,0,2014/6/24,2014/6/24,搶修,大台北瓦斯,1,中山北路2段62巷30弄1號右前,0,1,1,9
121.5293628,25.05466504,0,2014/6/24,2014/6/24,搶修,大台北瓦斯,1,中山北路2段62巷30弄1號右前,0,1,1,9
121.5869907,25.0306282,0,2014/6/15,2014/10/14,市政建設,自來水東區,2,松山路650巷松山路640號至650巷、656巷及附近巷道,121,5,3,3
121.5102055,25.12128121,0,2014/6/23,2014/6/26,民生需求-舊有用戶,電信士林,4,崇仁路1段155巷12號及157巷28.10.11號與159巷6.4號158巷4.1.6號及公館路402號共修管共12處,3,3,4,4
121.4863801,25.10400134,0,2014/5/20,2014/9/30,管線單位需求-既設管線改善,自來水北區,3,延平北路8段及9段(自8段2巷口起至9段145號旁止),133,5,3,3
121.5669685,25.08576876,0,2014/6/24,2014/6/24,搶修,自來水東區,1,內湖路1段47巷15-2號(西康里),0,1,3,11
121.5132766,25.12670733,0,2014/6/24,2014/6/26,民生需求-舊有用戶,台電北區,4,公館路130巷1弄15號前方工地無名道上,2,2,2,2
121.5132766,25.12670733,0,2014/6/24,2014/6/26,民生需求-舊有用戶,台電北區,4,公館路130巷1弄15號前方工地無名道上,2,2,2,2
121.5199297,25.1155836,0,2014/6/24,2014/6/24,搶修,自來水陽明,1,吉利街326巷3弄1號(吉利里),0,1,3,11
121.5327572,25.10136392,0,2014/6/23,2014/6/25,民生需求-新建房屋,自來水陽明,4,中山北路6段37-3號前及中山北路6段35巷24、28、38號前(德行里),2,2,3,3
121.5417837,25.01685762,0,2014/3/3,2014/9/11,管線單位需求-既設管線改善,自來水南區,3,"新生南路2段(信義路2段至和平東路1段),新生南路3段(和平東路1段至羅斯福路4段)單雙號側",192,5,3,3
121.5132766,25.12670733,0,2014/6/24,2014/6/26,民生需求-舊有用戶,台電北區,4,公館路130巷1弄15號前方工地無名道上,2,2,2,2
121.5526685,25.0412507,0,2014/6/9,2014/6/27,其他(汰舊換新),大台北瓦斯,3,忠孝東路4段17巷內(大安路一段52巷至復興南路135巷),18,3,1,1
