X,Y
303808.081,2767770.623
302276.213,2769228.706
305113.838,2770433.06
302966.362,2769981.884
302508.504,2778508.722
302899.849,2777314.645
310855.142,2773006.438
299563.767,2769741.344
311742.997,2773797.914
311764.427,2773824.901
303514.868,2770437.642
305660.718,2770259.963
308714.94,2775373.126
303217.956,2773432.164
303808.081,2767770.623
302212.435,2769288.731
302293.636,2769203.766
302292.683,2769204.401
308205.211,2771104.003
308205.211,2771104.003
303592.081,2768881.185
307638.399,2768988.958
302760.197,2773195.687
303514.868,2770437.642
299805.445,2768591.086
309164.183,2771360.811
303827.503,2778141.995
299476.928,2776998.115
307637.209,2768989.751
301682.019,2769646.496
304120.009,2765501.593
298106.889,2777596.244
298076.607,2777596.115
302455.757,2778668.496
302455.757,2778668.496
302622.577,2779076.496
302750.635,2772629.834
311083.952,2775099.449
299789.217,2768581.309
305532.515,2774540.648
306854.171,2769760.212
305440.855,2766357.22
303440.89,2770454.628
304523.084,2772471.924
303967.828,2772993.001
302835.9,2771579.423
301450.753,2775154.569
